delovno_mesto;placilo;lokacija;opis;st_prostih_mest;trajanje;delovnik;sifra
POMOÈ V STREŽBI;5,50 €/h neto;LJUBLJANA;Podjetje išèe dve osebi za pomožna dela v strežbi.; 2 ; PODOGOVORU; Popoldan; 280638
ADMINISTRATIVNA DELA;4,50 €/h neto;LJUBLJANA - VIÈ;Podjetje potrebuje osebo višjega letnika študija za ureditev arhiva in ostale dokumentacije ter lažja raèunalniška dela. Prièakujemo: znanje angleškega jezika, prijaznost, fleksibilnost, samostojnost, komunikativnost, resnost, zanesljivost in natanènost. Potrebna znanja: znanje Word-a in Excel-a. Prednost študenti/tke FKKT. Prièetek dela je ob 8. uri, 2 dni na teden. Prijavo s CV pošljite na mail.; 1 ; PO DOGOVORU; Po dogovoru; 280636
DELO V KUHINJI<strong>POMIVALEC</strong>;5,00 €/h neto;LJUBLJANA;Podjetje išèe osebi  za pomivanje posode. Zaželene izkušnje.; 2 ; PODOGOVORU; Popoldan; 280635
DELO V PROIZVODNJI;4,22 €/h neto;LJUBLJANA;Znano farmacevtsko podjetje potrebuje  polnoletno osebo za fizièna dela  - priprava raztopin (delo v pralnici, testiranje filtrov, èišèenje...). Delo poteka v izmenah (izmene se izmenjujejo). Noèna postavka je 6 €/h bruto. Prijavo s CV pošlji na e-naslov.; 1 ; DLJE ÈASA; Izmensko; 280634
MARKETING;5,92 €/h neto;LJUBLJANA;Išèejo samostojno, proaktivno, iznajdljivo, zanesljivo ter odgovorno osebo za opravljanje marketinških del: organizacija promocijskih dogodkov ter koordinacija marketinških aktivnosti. Pogoji: veselje do dela v digitalnem svetu, odlièno znanje angleškega jezika, poznavanje osnov spletnega urejanja platforme Wordpress ter platforme Hubspot (ni pogoj), obvladovanje MS Office, izkušnje s pisanjem raznovrstnih besedil ter poznavanje omrežij. Pošlji prijavo in CV s pripisom: Delo v marketingu; 1 ; DLJE ÈASA; Dopoldan; 280633
NAKLADANJE/ RAZKLADANJE;6,76 €/h neto;LOGATEC;Potrebujejo dva kandidata za razkladanje kontejnerja (7.30 – 15.30). Poklièi.; 2 ; 5 11.2018; Dopoldan; 280632
FOTOKOPIRANJE;4,00 €/h neto;MARIBOR;Podjetje potrebuje spretne osebe za pomoè v fotokopirnici. Pogoj je starost nad 21 let.; 3 ; DLJE ÈASA; Izmensko; 280630
DELO S STRANKAMI;5,00 €/h neto;LJUBLJANA;Obvezno odlièno znanje italijanskega jezika, ostalo se lahko nauèijo. Delo obsega urejanje spletne trgovine za tuje trge, komunikacijo s strankami, delo v razstavnem salonu, prevajanje vsebin, upravljanje profilov na družbenih omrežjih, priprava gradiv za vsebinski marketing. Išèejo resno osebo za dlje èasa. Možnost izobraževanja in pridobitve novih znanj, napredovanja in kasnejše zaposlitve.; 1 ; DLJE ÈASA; Po dogovoru; 280629
ADMINISTRATIVNA DELA;5,00 €/h neto;LJUBLJANA;Išèejo študenta ali študentko, ki zakljuèuje študij, za opravljanje zahtevnega dela v sprejemni pisarni kadrovske agencije. Nudijo pridobivanje izkušenj v zelo zahtevnem mednarodnem podjetju z visokim standardom dela na administrativni podpori strankam, lepo delovno okolje in možnost kasnejše zaposlitve. Veè o delovnem mestu si preberite na spletni strani podjetja.; 1 ; OD 1 DO 2 MESECEV, MOŽNO PODALJŠANJE.; Dopoldan; 280628
POMOÈ PRI PRODAJI;4,22 €/h neto;LJUBLJANA - RUDNIK;Podjetje išèe polnoletno osebo za prodajo iger na sreèo. Ob nedeljah je urna postavka 6 € bruto.; 1 ; DLJE ÈASA; Po dogovoru; 280627
POMOÈ V TRGOVINI;4,00 €/h neto;CELJE;Pomoè v trgovini s športno opremo. Pogoj je polnoletnost.; 2 ; PO DOGOVORU; Po dogovoru; 280626
STREŽBA;4,00 €/h neto;MARIBOR LENT;Lokal na Lentu potrebuje veè oseb za delo strežbe. Bruto urna postavka se giblje med 4,73 in 5,90 € plus napitnina. Pogoji: izkušnje, komunikativnost, vestnost in zanesljivost.; 1 ; DLJE ÈASA; Po dogovoru; 280625
POMOÈ V STREŽBI;5,10 €/h neto;ÈRNA NA KOROŠKEM;Gostilna potrebuje osebo za pomoè v strežbi. Izkušnje zaželene. Pogoj je starost nad 18 let.; 1 ; PO DOGOVORU; Izmensko; 280624
ASISTENT<strong>ZAHTEVNA ADMINISTRATIVNA DELA</strong>;5,07 €/h neto;LJUBLJANA ÈRNUÈE;Asistent/ka uprave: skrb za organizacijo poslovnih dogodkov, vodenje marketinških aktivnosti, vodenje projektov o nakupu poslovnih daril, sodelovanje pri skrbi za celostno grafièno podobo podetja ter sprejem poslovnih partnerjev. Pogoja: študent/ka zakljuènega letnika družboslovne smeri in znanje angleškega jezika (pisno in govorno). Prijavo in CV pošlji do 12. 11. na e-naslov.; 1 ; DLJE ÈASA; Dopoldan; 280623
STREŽBA;4,65 €/h neto;MARIBOR CENTER;Kavarna v centru Maribora potrebuje osebo za strežbo. Delovni èas je po dogovoru. Izkušnje so obvezne.; 1 ; DLJE ÈASA; Po dogovoru; 280622
GRADBENA DELA<strong>MONTAŽA</strong>;5,00 €/h neto;GODEŠIÈ - PO SLOVENIJI;Podjetje išèe kandidata za pomoè pri gradbenih delih in montaži kaminov. Pogoj: starost nad 18 let. Delovnik po dogovoru s podjetjem.; 2 ; DLJE ÈASA; Dopoldan; 280621
POMOÈ V STREŽBI;4,50 €/h neto;ŠKOFJA LOKA;Podjetje išèe prijazno osebo za delo v lokalu. Pogoj: starost nad 18 let.; 2 ; PO DOGOVORU; Po dogovoru; 280620
