delovno_mesto;placilo;lokacija;opis;st_prostih_mest;trajanje;delovnik;sifra

POMOČ V STREŽBI;4.5;LJUBLJANA;Podjetje išče dve osebi za pomožna dela v strežbi.;2; PODOGOVORU; Popoldan;280638

ADMINISTRATIVNA DELA;4.50;LJUBLJANA;Podjetje potrebuje osebo višjega letnika študija za ureditev arhiva in ostale dokumentacije ter lažja računalniška dela. Pričakujemo: znanje angleškega jezika, prijaznost, fleksibilnost, samostojnost, komunikativnost, resnost, zanesljivost in natančnost. Potrebna znanja: znanje Word-a in Excel-a. Prednost študenti/tke FKKT. Pričetek dela je ob 8. uri, 2 dni na teden. Prijavo s CV pošljite na mail.;1; PO DOGOVORU; Po dogovoru;280636

DELO V KUHINJI;5.00;LJUBLJANA;Podjetje išče osebi  za pomivanje posode. Zaželene izkušnje.;2; PODOGOVORU; Popoldan;280635

DELO V PROIZVODNJI;4.22;LJUBLJANA;Znano farmacevtsko podjetje potrebuje  polnoletno osebo za fizična dela  - priprava raztopin (delo v pralnici, testiranje filtrov, čiščenje...). Delo poteka v izmenah (izmene se izmenjujejo). Nočna postavka je 6 €/h bruto. Prijavo s CV pošlji na e-naslov.;1; DLJE ČASA; Izmensko;280634

MARKETING;5.92;LJUBLJANA;Iščejo samostojno, proaktivno, iznajdljivo, zanesljivo ter odgovorno osebo za opravljanje marketinških del: organizacija promocijskih dogodkov ter koordinacija marketinških aktivnosti. Pogoji: veselje do dela v digitalnem svetu, odlično znanje angleškega jezika, poznavanje osnov spletnega urejanja platforme Wordpress ter platforme Hubspot (ni pogoj), obvladovanje MS Office, izkušnje s pisanjem raznovrstnih besedil ter poznavanje omrežij. Pošlji prijavo in CV s pripisom: Delo v marketingu;1; DLJE ČASA; Dopoldan;280633

NAKLADANJE/ RAZKLADANJE;6.76;LOGATEC;Potrebujejo dva kandidata za razkladanje kontejnerja (7.30 – 15.30). Pokliči.;2; 5 11.2018; Dopoldan;280632

FOTOKOPIRANJE;4.00;MARIBOR;Podjetje potrebuje spretne osebe za pomoč v fotokopirnici. Pogoj je starost nad 21 let.;3; DLJE ČASA; Izmensko;280630

DELO S STRANKAMI;5.00;LJUBLJANA;Obvezno odlično znanje italijanskega jezika, ostalo se lahko naučijo. Delo obsega urejanje spletne trgovine za tuje trge, komunikacijo s strankami, delo v razstavnem salonu, prevajanje vsebin, upravljanje profilov na družbenih omrežjih, priprava gradiv za vsebinski marketing. Iščejo resno osebo za dlje časa. Možnost izobraževanja in pridobitve novih znanj, napredovanja in kasnejše zaposlitve.;1; DLJE ČASA; Po dogovoru;280629

ADMINISTRATIVNA DELA;5.00;LJUBLJANA;Iščejo študenta ali študentko, ki zaključuje študij, za opravljanje zahtevnega dela v sprejemni pisarni kadrovske agencije. Nudijo pridobivanje izkušenj v zelo zahtevnem mednarodnem podjetju z visokim standardom dela na administrativni podpori strankam, lepo delovno okolje in možnost kasnejše zaposlitve. Več o delovnem mestu si preberite na spletni strani podjetja.;1; OD 1 DO 2 MESECEV, MOŽNO PODALJŠANJE.; Dopoldan;280628

POMOČ PRI PRODAJI;4.22;LJUBLJANA;Podjetje išče polnoletno osebo za prodajo iger na srečo. Ob nedeljah je urna postavka 6 € bruto.;1; DLJE ČASA; Po dogovoru;280627

POMOČ V TRGOVINI;4.00;CELJE;Pomoč v trgovini s športno opremo. Pogoj je polnoletnost.;2; PO DOGOVORU; Po dogovoru;280626

STREŽBA;4.00;MARIBOR LENT;Lokal na Lentu potrebuje več oseb za delo strežbe. Bruto urna postavka se giblje med 4,73 in 5,90 € plus napitnina. Pogoji: izkušnje, komunikativnost, vestnost in zanesljivost.;1; DLJE ČASA; Po dogovoru;280625

POMOČ V STREŽBI;5.10;ČRNA NA KOROŠKEM;Gostilna potrebuje osebo za pomoč v strežbi. Izkušnje zaželene. Pogoj je starost nad 18 let.;1; PO DOGOVORU; Izmensko;280624

ASISTENT;5.07;LJUBLJANA;Asistent/ka uprave: skrb za organizacijo poslovnih dogodkov, vodenje marketinških aktivnosti, vodenje projektov o nakupu poslovnih daril, sodelovanje pri skrbi za celostno grafično podobo podetja ter sprejem poslovnih partnerjev. Pogoja: študent/ka zaključnega letnika družboslovne smeri in znanje angleškega jezika (pisno in govorno). Prijavo in CV pošlji do 12. 11. na e-naslov.;1; DLJE ČASA; Dopoldan;280623

STREŽBA;4.65;MARIBOR CENTER;Kavarna v centru Maribora potrebuje osebo za strežbo. Delovni čas je po dogovoru. Izkušnje so obvezne.;1; DLJE ČASA; Po dogovoru;280622

GRADBENA DELA;5.00;GODEŠIČ - PO SLOVENIJI;Podjetje išče kandidata za pomoč pri gradbenih delih in montaži kaminov. Pogoj: starost nad 18 let. Delovnik po dogovoru s podjetjem.;2; DLJE ČASA; Dopoldan;280621

POMOČ V STREŽBI;4.50;ŠKOFJA LOKA;Podjetje išče prijazno osebo za delo v lokalu. Pogoj: starost nad 18 let.;2; PO DOGOVORU; Po dogovoru;280620

DELO NA RAČUNALNIKU;5.07;LJUBLJANA;Uspešen slovenski startup širi ekipo in išče testerja aplikacije. Želijo si daljšega sodelovanja, možnost kasnejše redne zaposlitve. Iščejo zelo natačno in sistematično osebo z dobrimi komunikacijskimi sposobnostmi. Poznavanje Windows, Mac in iPhone okolja je zaželeno, vendar ni obvezno.;1; DLJE ČASA; Dopoldan;280619

LAŽJA FIZIČNA DELA;4.00;LJUBLJANA;Razvrščanje pošiljk. Možnost dela dopoldan, popoldan ali ponoči. Za nočno delo morajo kandidati biti stari 18 let, za ostale termine so lahko tudi mladoletni.;3; DLJE ČASA; Izmensko;280618

INFORMATOR;5.50;LJUBLJANA;Informiranje in usmerjanje strank. Pogoj je starost nad 18 let.;1; PO DOGOVORU; Dopoldan;280617

VLAGANJE;4.00;LJUBLJANA;Ročna dela, vlaganje reklam. Delo poteka dopoldne do 15. ure ali popoldne od 15. do 23. ure. Možna je prijava na prvo ali drugo izmeno.;5; PETEK 2.11.2018; Izmensko;280616

PROGRAMIRANJE;8.45;LJUBLJANA;Razvoj programskih modulov za igralne aparate glede na navodila vodje skupine, izvajanje in evidentiranje popravkov obstoječih modulov programske opreme, testiranje posameznih razvojnih komponent, sodelovanje pri izvedbi komunikacijskih protokolov za nove igralne aparate. Zaželene delovne izkušenj na področju razvoja, znanje NET C# in poznavanje principov objektnega programiranja, znanje programskega jezika ActionScript 3.0.;2; DLJE ČASA, MOŽNOST KASNEJŠE REDNE ZAPOSLITVE; Dopoldan;280615

POMOČ PRI PRODAJI;4.00;LJUBLJANA;Podjetje išče študenta/ko za pomoč pri prodaji v trgovini z oblačili. Zaželene so izkušnje s prodajo. Pogoj je razpoložljivost za delo med tednom in med vikendi. med vikendom je plačilo 5,5 €/h bruto.;2; DLJE ČASA; Izmensko;280614

DELO V LABORATORIJU;4.65;GROSUPLJE;Farmacevtsko podjetje išče osebo za pomoč v laboratoriju in pisarni v oddelku kontrole kakovosti. Pogoji: komuniciranje v angleškem jeziku, obvezna farmacevtska smer izobrazbe. Vsi kandidati naj pošljejo svoj CV z delovnimi izkušnjami na e-mail v angleškem jeziku.;1; DLJE ČASA; Dopoldan;280613

PROGRAMIRANJE;8.45;SEŽANA;Razvoj programskih modulov za igralne aparate glede na navodila vodje skupine, izvajanje in evidentiranje popravkov obstoječih modulov programske opreme, testiranje posameznih razvojnih komponent, sodelovanje pri izvedbi komunikacijskih protokolov za nove igralne aparate. Zaželene delovne izkušenj na področju razvoja, znanje NET C# in poznavanje principov objektnega programiranja, znanje programskega jezika ActionScript 3.0.;2; DLJE ČASA, MOŽNOST KASNEJŠE REDNE ZAPOSLITVE; Dopoldan;280612

POMOČ V STREŽBI;4.22;TRZIN;Pogoji so resnost, odgovornost, komunikativnost. Izkušnje so zaželene.;1; DLJE ČASA; Dopoldan;280611

BLAGAJNIK;4.30;MARIBOR CENTER;Izkušnje z delom na  blagajni predstavljajo prednost.;1; DALJ ČASA; Izmensko;280610

LAŽJA FIZIČNA DELA;5.00;ŠENTILJ;Podjetje išče osebo za lažja fizična dela - pomoč pri pripravi športnega igrišča. Delo poteka dopoldan, do 17.00 ure.;2; DLJE ČASA; Dopoldan;280609

PROGRAMIRANJE;5.81;LJUBLJANA;Iščejo kandidata/ko s poznavanjem: poslovnih procesov pravnih subjektov (delovni tokovi), programskega jezika JavaScript (prednost imajo kandidati, ki poznajo čim več programskih jezikov: C++, Java, Delphi,..), SQL in delovanja baz podatkov. Znanje angleškega, hrvaškega in/ali srbskega jezika. Dobra ustna in pisna komunikacija, veselje do dela s strankami, povezovalnost in delo na različnih razvojnih projektih ter ustvarjalnost.;1; PO DOGOVORU; Dopoldan;280608

POMOČ PRI PRODAJI;4.22;LJUBLJANA;Podjetje išče več oseb za delo v trgovini z modnimi oblačili Pull & Bear (pomoč pri prodaji, svetovanje, ipd.). K sodelovanju vabijo kandidate, ki jih zanima moda in delo z ljudmi, so urejeni, resni in komunikativni. Z delom se prične takoj. Prijavo in CV s pripisano telefonsko številko pošlji na e-mail (pripis Pull & Bear BTC).;5; DLJE ČASA; Izmensko;280607

STROKOVNO DELO;4.65;LOGATEC;Delo v gradbeništvu: urejanje razpredelnic, branje in risanje načrtov, vodenje delavcev, urejanje dokumentacije ter kontrolo proizvodnje. Pogoji: gradbena smer izobraževanja (gradbeni tehnik, inž. gradbeništva .... ), resnost ter starost nad 17 let. Pokliči ali se prijavi na e-naslov.;1; PO DOGOVORU; Dopoldan;280606

HELPDESK;4.48;LJUBLJANA;Pogoji za delo: poznavanje strežniškega in desktop Windows okolja, delovanja podatkovnih baz, različnih ERP, Linux okolja. Višja izobrazba tehnične smeri, znanje angleškega, hrvaškaga in/ali srbskega jezika. Izpit B kategorije in lasten prevoz. Dobra ustna in pisna komunikacija ter veselje do dela s strankami.;1; PO DOGOVORU; Dopoldan;280605

